Study,Year,Citation,doi,Study Number,City,Province_State,Country,Location,Genus,Species,Common Name,Sub-common name,Water (Fresh/Salt/Anadromous/Estuarine),LS,Lifestage,Group,Concentration,Duration,SEV_old,SEV,Response,Habitat_Related,Database,Comments
Abrahams and Kattenfeld,1997,"Abrahams, M., Kattenfeld, M. The role of turbidity as a constraint on predator-prey interactions in aquatic environments. Behav Ecol Sociobiol 40, 169–174 (1997).",10.1007/s002650050330,1,Winnipeg,Manitoba,Canada,Delta Marsh,Pimephales,promelas,Minnow,Fathead,F,Adult,A,AN,11.5,0.333333333,3,3,Attracted to turbidity,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867573",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,50,1008,8,8,Damage to gill tissue,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867574",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,100,1008,8,8,Damage to gill tissue,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867575",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,200,1008,8,8,Damage to gill tissue,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867576",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,1000,1008,8,8,Damage to gill tissue,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867577",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,2000,1008,8,8,Damage to gill tissue,No,New,
Quadroni et al.,2016,"Quadroni, S., Brignoli, M. L., Crosa, G., Gentili, G., Salmaso, F., Zaccara, S., and Espa, P. (2016) Effects of sediment flushing from a small Alpine reservoir on downstream aquatic fauna. Ecohydrol., 9: 1276– 1288. ",10.1002/eco.1725,1,NA,Sondrio,Italy,Madesimo Reservoir,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,2900,66,10,10,Habitat degradation and reduction in density,No,New,
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-351",10.1080/00028487.2014.987878,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,1197.7,120,12,12,LC50,No,New,Exact
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-352",10.1080/00028487.2014.987879,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,8372.1,12,12,12,LC50,No,New,Exact
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-353",10.1080/00028487.2014.987880,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,4800,24,12,12,LC50,No,New,Estimated based on figure
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-354",10.1080/00028487.2014.987881,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,4000,36,12,12,LC50,No,New,Estimated based on figure
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-355",10.1080/00028487.2014.987882,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,2150,48,12,12,LC50,No,New,Estimated based on figure
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-356",10.1080/00028487.2014.987883,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,2000,60,12,12,LC50,No,New,Estimated based on figure
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-357",10.1080/00028487.2014.987884,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,1900,72,12,12,LC50,No,New,Estimated based on figure
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-358",10.1080/00028487.2014.987885,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,1200,84,12,12,LC50,No,New,Estimated based on figure
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-359",10.1080/00028487.2014.987886,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,1200,96,12,12,LC50,No,New,Estimated based on figure
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-360",10.1080/00028487.2014.987887,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,1200,108,12,12,LC50,No,New,Estimated based on figure
Becke et al.,2017,"C Becke, D Steinhagen, M Schumann, A Brinker, Physiological con-137sequences for rainbow trout (oncorhynchus mykiss) of short-term138exposure to increased suspended solid load.Aquac. Eng.78, 63–74139(2017) Workshop on Recirculating Aquaculture Systems (III).",10.1016/j.aquaeng.2016.11.001,1,NA,NA,Germany,NA,Oncorhynchus,mykiss,Trout,Rainbow,F,Adult,A,AS,30,600,3,3,Modified feeding behaviour,No,New,"Concentration increased throughout study, measurements taken at beginning of day, however spot measurements indicated concentration was nearly double later in the day. As such, an average over the period is likely to be close to the 30 mg/L value provided in the abstract and conclusions."
Becker et al.,2012,"Swanbrow Becker, L. J., & Gabor, C. R. (10/2012). Effects of turbidity and visual vs. chemical cues on anti-predator response in the endangered fountain darter (etheostoma fonticola) Blackwell Publishing.",10.1111/eth.12002,1,NA,Texas,USA,San Marcos and Comal Rivers,Etheostoma,fonticola,Darter,Fountain,F,Adult,A,AN,90,5,3,3,Compromised anti-predator response behaviour,No,New,"Published concentraiton as 30 NTU, used common 3:1 NTU:TSS relationship."
Borner et al.,2015,"Borner, K. K., Krause, S., Mehner, T., Uusi-Heikkila, S., Ramnarine, I. W., & Krause, J. (04/2015). Turbidity affects social dynamics in trinidadian guppies Springer.",10.1007/s00265-015-1875-3,1,NA,NA,Trinidad,Arima River,Poecilia,reticulata,Guppies,Trinidadian,F,Adult,A,AN,2100,12,3,3,Social dynamic behavioural effects,No,New,"Published as 700 NTU used 3:1 ratio. Methods state ""overnight"" as duration, assumed 12 hours "
Espa et al.,2013,"Espa, P., Castelli, E., Crosa, G. et al. Environmental Effects of Storage Preservation Practices: Controlled Flushing of Fine Sediment from a Small Hydropower Reservoir. Environmental Management 52, 261–276 (2013).",10.1007/s00267-013-0090-0,1,NA,Sondrio,Italy,Valgrosina Reservoir,Salmo,trutta,Trout,Brown,F,Not Specified,NS,AS,4700,300,12,12,Density drop average 60%,No,New,
Espa et al.,2013,"Espa, P., Castelli, E., Crosa, G. et al. Environmental Effects of Storage Preservation Practices: Controlled Flushing of Fine Sediment from a Small Hydropower Reservoir. Environmental Management 52, 261–276 (2013).",10.1007/s00267-013-0090-1,1,NA,Sondrio,Italy,Valgrosina Reservoir,Salmo,trutta,Trout,Brown,F,Not Specified,NS,AS,3000,280,11,11,Density drop average 45%,No,New,
Espa et al.,2013,"Espa, P., Castelli, E., Crosa, G. et al. Environmental Effects of Storage Preservation Practices: Controlled Flushing of Fine Sediment from a Small Hydropower Reservoir. Environmental Management 52, 261–276 (2013).",10.1007/s00267-013-0090-2,1,NA,Sondrio,Italy,Valgrosina Reservoir,Salmo,trutta,Trout,Brown,F,Not Specified,NS,AS,3500,300,10,10,Density drop average 10%,No,New,
Espa et al.,2013,"Espa, P., Castelli, E., Crosa, G. et al. Environmental Effects of Storage Preservation Practices: Controlled Flushing of Fine Sediment from a Small Hydropower Reservoir. Environmental Management 52, 261–276 (2013).",10.1007/s00267-013-0090-3,1,NA,Sondrio,Italy,Valgrosina Reservoir,Salmo,trutta,Trout,Brown,F,Not Specified,NS,AS,4000,312,10,10,Density drop average 10%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218822,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,300,1104,13,13,Density drop average 65%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218823,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Adult,A,AS,300,1104,10,10,Density drop average 5%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218824,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,300,1272,11,11,Density drop average 25%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218825,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Adult,A,AS,300,1272,12,12,Density drop average 60%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218826,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,800,960,13,13,Density drop average 70%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218827,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Adult,A,AS,800,960,9,9,Density drop average 0%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218828,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,4700,312,12,12,Density drop average 60%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218829,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Adult,A,AS,4700,312,9,9,Density drop average 0%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218830,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,3000,288,13,13,Density drop average 75%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218831,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Adult,A,AS,3000,288,10,10,Density drop average 20%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218832,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,3500,312,9,9,Density drop average 0%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218833,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Adult,A,AS,3500,312,9,9,Density drop average 0%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218834,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,4000,312,11,11,Density drop average 35%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218835,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Adult,A,AS,4000,312,10,10,Density drop average 5%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218836,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,2600,72,12,12,Density drop average 60%,No,New,
Espa et al.,2019,"Espa, Batalla, R. J., Brignoli, M. L., Crosa, G., Gentili, G., & Quadroni, S. (2019). Tackling reservoir siltation by controlled sediment flushing: Impact on downstream fauna and related management issues Public Library of Science.",10.1371/journal.pone.0218837,1,NA,Sondrio,Italy,Various Locations,Salmo,trutta,Trout,Brown,F,Adult,A,AS,2600,72,12,12,Density drop average 45%,No,New,
Greer et al,2015,"Greer, M., Crow, S. K., Hicks, A. S., & Closs, G. P. (04/2015). The effects of suspended sediment on brown trout ( salmo trutta ) feeding and respiration after macrophyte control Dept. of Scientific and Industrial Research.",10.1080/00288330.2015.1013140,1,NA,Canterbury,New Zealand,Montrose Fish & Game Hatchery,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,450,2.5,4,4,Reduction in feeding,No,New,
Gregory,1993,Robert S. Gregory. Effect of Turbidity on the Predator Avoidance Behaviour of Juvenile Chinook Salmon (Oncorhynchus tshawytscha). Canadian Journal of Fisheries and Aquatic Sciences. 50(2): 241-246. ,10.1139/f93-027,1,Vancouver,British Columbia,Canada,Chehalis Hatchery,Oncorhynchus,tshawytscha,Salmon,Chinook,A,Juvenile,J,JS,69,3,3,3,Reduce predator avoidance in turbidity,No,New,"Conc in NTU, used 3:1 NTU:TSS ratio"
Gregory,1993,"Gregory, R. S., & Northcote, T. G. (02/1993). Surface, planktonic, and benthic foraging by juvenile chinook salmon ( oncorhynchus tshawytscha ) in turbid laboratory conditions NRC Research Press.",10.1139/f93-026,2,Vancouver,British Columbia,Canada,Chehalis Hatchery,Oncorhynchus,tshawytscha,Salmon,Chinook,A,Juvenile,J,JS,450,1.5,4,4,Change from attraction to turbidity to reduction in foraging ability,No,New,"Conc in NTU, used 3:1 NTU:TSS ratio"
Johnson and Hines,2011,"Johnson, & Hines, R. T. (1999). Effect of suspended sediment on vulnerability of young razorback suckers to predation American Fisheries Society.",10.1577/1548-8659(1999)128<0648:EOSSOV>2.0.CO;2,1,NA,New Mexico,USA,Dexter National Fish Hatchery,Xyrauchen,texanus,Sucker,Razorback,F,Juvenile,J,JN,250,1,3,3,Reduced predation of juveniles,No,New,
Korstrom and Birtwell,2011,"Korstrom, J. S., & Birtwell, I. K. (07/2006). Effects of suspended sediment on the escape behavior and cover-seeking response of juvenile chinook salmon in freshwater American Fisheries Society.",10.1577/T05-194.1,1,Prince George,British Columbia,Canada,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,A,Juvenile,J,JS,30000,48,6,6,"No rapid recovery of behavioural effects, possible survivability issues",No,New,
Lake and Hinch,1999,"Lake, R. G., & Hinch, S. G. (1999). Acute effects of suspended sediment angularity on juvenile coho salmon (0RW1S34RfeSDcfkexd09rT2oncorhynchus kisutch1RW1S34RfeSDcfkexd09rT2) NRC Research Press.",10.1139/cjfas-56-5-862,1,Mission,British Columbia,Canada,Inch Creek,Oncorhynchus,kisutch,Salmon,Coho,A,Juvenile,J,JS,100000,96,10,10,Lowest concentration to observe mortality,No,New,
Lowe et al.,2015,"Lowe, M., Morrison, M. A., & Taylor, R. B. (11/2015). Harmful effects of sediment-induced turbidity on juvenile fish in estuaries Inter-Research.",10.3354/meps11496,1,Auckland,Auckland Region,New Zealand,Leigh Marine Laboratory,Pagrus,auratus,Snapper,NA,S,Juvenile,J,JN,120,720,9,9,"""Pagrus auratus F. Sparidae""?? Reduced growth rate",No,New,"Conc in NTU, used 3:1 NTU:TSS ratio"
Merten et al.,2010,"Merten, E. C., Loomis, J., Lightbody, A., & Dieterman, D. J. (12/2010). Effects of six-hour suspended sediment treatments on white sucker ( catostomus commersoni ) and smallmouth bass ( micropterus dolomieu ) in an artificial stream",10.1080/02705060.2010.9664,1,Minneapolis,Minnesota,USA,St. Anthony Falls Laboratory,Catostomus,commersoni,Sucker,White,F,Adult,A,AN,500,6,6,6,Evidence of physiological effects,No,New,Authors do not clearly identify specific effects other than referencing HAI evaluation criteria. They state no major physiological effects were identified.
Michel et al.,2013,"Michel, C., Schmidt-Posthaus, H., & Burkhardt-Holm, P. (04/2013). Suspended sediment pulse effects in rainbow trout ( oncorhynchus mykiss ) — relating apical and systemic responses NRC Research Press.",10.1139/cjfas-2012-0376,1,Vionnaz,Valais,Switzerland,Pisciculture de Vionnaz,Oncorhynchus,mykiss,Trout,Rainbow,F,Adult,A,AS,300,192,4,4,Behavioural effects with increased energy expenditure,No,New,
Michel et al.,2013,"Michel, C., Schmidt-Posthaus, H., & Burkhardt-Holm, P. (04/2013). Suspended sediment pulse effects in rainbow trout ( oncorhynchus mykiss ) — relating apical and systemic responses NRC Research Press.",10.1139/cjfas-2012-0377,1,Vionnaz,Valais,Switzerland,Pisciculture de Vionnaz,Oncorhynchus,mykiss,Trout,Rainbow,F,Adult,A,AS,300,576,5,6,Long-term survivability issues due to general stress.,No,New,Long-term survivability was classified as more severe to other minor physiological effects (e.g. coughing) that didn’t impact survivability.
Michel et al.,2013,"Michel, C., Schmidt-Posthaus, H., & Burkhardt-Holm, P. (04/2013). Suspended sediment pulse effects in rainbow trout ( oncorhynchus mykiss ) — relating apical and systemic responses NRC Research Press.",10.1139/cjfas-2012-0378,1,Vionnaz,Valais,Switzerland,Pisciculture de Vionnaz,Oncorhynchus,mykiss,Trout,Rainbow,F,Adult,A,AS,1300,192,4,4,Behavioural effects with increased energy expenditure,No,New,
Michel et al.,2013,"Michel, C., Schmidt-Posthaus, H., & Burkhardt-Holm, P. (04/2013). Suspended sediment pulse effects in rainbow trout ( oncorhynchus mykiss ) — relating apical and systemic responses NRC Research Press.",10.1139/cjfas-2012-0379,1,Vionnaz,Valais,Switzerland,Pisciculture de Vionnaz,Oncorhynchus,mykiss,Trout,Rainbow,F,Adult,A,AS,1300,576,5,6,Long-term survivability issues due to general stress.,No,New,Long-term survivability was classified as more severe to other minor physiological effects (e.g. coughing) that didn’t impact survivability.
Michel et al.,2013,"Michel, C., Schmidt-Posthaus, H., & Burkhardt-Holm, P. (04/2013). Suspended sediment pulse effects in rainbow trout ( oncorhynchus mykiss ) — relating apical and systemic responses NRC Research Press.",10.1139/cjfas-2012-0380,1,Vionnaz,Valais,Switzerland,Pisciculture de Vionnaz,Oncorhynchus,mykiss,Trout,Rainbow,F,Adult,A,AS,5000,192,4,4,Behavioural effects with increased energy expenditure,No,New,
Michel et al.,2013,"Michel, C., Schmidt-Posthaus, H., & Burkhardt-Holm, P. (04/2013). Suspended sediment pulse effects in rainbow trout ( oncorhynchus mykiss ) — relating apical and systemic responses NRC Research Press.",10.1139/cjfas-2012-0381,1,Vionnaz,Valais,Switzerland,Pisciculture de Vionnaz,Oncorhynchus,mykiss,Trout,Rainbow,F,Adult,A,AS,5000,576,5,6,Long-term survivability issues due to general stress.,No,New,Long-term survivability was classified as more severe to other minor physiological effects (e.g. coughing) that didn’t impact survivability.
Miner and Stein,1996,"Miner, & Stein, R. A. (1996). Detection of predators and habitat choice by small bluegills: Effects of turbidity and alternative prey American Fisheries Society.",10.1577/1548-8659(1996)125<0097:DOPAHC>2.3.CO;2,1,Columbus,Ohio,USA,NA,Lepomis,macrochirus,Bluegill,NA,F,Adult,A,AN,15,1,2,2,Habitat selection was modified.,No,New,3:1 TSS:NTU ratio used
Reid,2003,"Reid, Isaac, G., Metikosh, S., & Evans, J. (2003). Physiological response of rainbow trout to sediment released during open-cut pipeline water crossing construction Canadian Association on Water Quality.",10.2166/wqrj.2003.030,1,Calgary,Alberta,Canada,Serviceberry Creek,Oncorhynchus,mykiss,Trout,Rainbow,F,Adult,A,AS,115,30,6,6,"Physiological responses, no mortality.",No,New,3:1 TSS:NTU ratio used
Robertson,2007,"Robertson, M. J., Scruton, D. A., & Clarke, K. D. (05/2007). Seasonal effects of suspended sediment on the behavior of juvenile atlantic salmon American Fisheries Society.",10.1577/T06-164.1,1,NA,Newfoundland,Canada,Avalon Peninsula,Salmo,salar,Salmon,Atlantic,A,Juvenile,J,JS,60,2.5,1,1,Avoidance of suspended sediment,No,New,
Sutherland and Meyer,2007,"Sutherland, A. B., & Meyer, J. L. (10/2007). Effects of increased suspended sediment on growth rate and gill condition of two southern appalachian minnows Springer.",10.1007/s10641-006-9139-8,1,Franklin,North Carolina,USA,Little Tennessee River,Cyprinella,galactura,Shiner,Whitetail,F,Juvenile,J,JN,50,504,4,4,Reduction in feeding,No,New,"Considered as a function of sediment, confident concentration threshold"
Sutherland and Meyer,2007,"Sutherland, A. B., & Meyer, J. L. (10/2007). Effects of increased suspended sediment on growth rate and gill condition of two southern appalachian minnows Springer.",10.1007/s10641-006-9139-9,1,Franklin,North Carolina,USA,Little Tennessee River,Cyprinella,galactura,Shiner,Whitetail,F,Adult,A,AN,100,504,4,4,Reduction in feeding,No,New,"Considered as a function of sediment, confident concentration threshold"
Sutherland and Meyer,2007,"Sutherland, A. B., & Meyer, J. L. (10/2007). Effects of increased suspended sediment on growth rate and gill condition of two southern appalachian minnows Springer.",10.1007/s10641-006-9139-10,1,Franklin,North Carolina,USA,Little Tennessee River,Erimonax,monachus,Chub,Spotfin,F,Juvenile,J,JN,25,504,4,4,Reduction in feeding,No,New,"Considered as a function of sediment, confident concentration threshold"
Sutherland and Meyer,2007,"Sutherland, A. B., & Meyer, J. L. (10/2007). Effects of increased suspended sediment on growth rate and gill condition of two southern appalachian minnows Springer.",10.1007/s10641-006-9139-11,1,Franklin,North Carolina,USA,Little Tennessee River,Cyprinella,galactura,Shiner,Whitetail,F,Juvenile,J,JN,50,48,4,4,Increased corticosteroid,No,New,"Considered as a function of sediment, confident concentration threshold"
Sutherland and Meyer,2007,"Sutherland, A. B., & Meyer, J. L. (10/2007). Effects of increased suspended sediment on growth rate and gill condition of two southern appalachian minnows Springer.",10.1007/s10641-006-9139-12,1,Franklin,North Carolina,USA,Little Tennessee River,Cyprinella,galactura,Shiner,Whitetail,F,Adult,A,AN,50,48,4,4,Increased corticosteroid,No,New,"Considered as a function of sediment, confident concentration threshold"
Sutherland and Meyer,2007,"Sutherland, A. B., & Meyer, J. L. (10/2007). Effects of increased suspended sediment on growth rate and gill condition of two southern appalachian minnows Springer.",10.1007/s10641-006-9139-13,1,Franklin,North Carolina,USA,Little Tennessee River,Erimonax,monachus,Chub,Spotfin,F,Juvenile,J,JN,100,48,4,4,Increased corticosteroid,No,New,"Considered as a function of sediment, confident concentration threshold"
Vinyard and Yuan,1996,"Vinyard, & Yuan, A. C. (1996). Effects of turbidity on feeding rates of lahontan cutthroat trout (oncorhynchus clarki henshawi) and lahontan redside shiner (richardsonius egregius) M.L. Bean Life Science Museum, Brigham Young University. https://www.jstor.org/stable/41716184",,1,Humboldt County,Nevada,USA,Mahogany Creek,Oncorhynchus,clarki,Trout,Cutthroat,F,Not Specified,NS,AS,30,24,4,4,Reduction in feeding,No,New,3:1 TSS:NTU ratio used
